Date,DAU Actuals (avg),DAU (avg),ARPDAU,Gross Rev (Act),Revenue (Gross),Net Rev (Act),Revenue (Net),Marketing Cost,Game Margin (Act),Game Margin,Cumul. Margin
2025-10-01,127266.0,127266,0.3942006845689027,1555213.5493838259,1555213.5493838259,1141849.3245603838,1141849.3245603838,574515.0,567334.3245603838,567334.3245603838,567334.3245603838
2025-11-01,119314.0,119314,0.41587829469551585,1488604.749112202,1488604.749112202,1091991.522645012,1091991.522645012,512000.0,579991.522645012,579991.522645012,1147325.8472053958
2025-12-01,117685.0,117685,0.4304884911160222,1570519.3059902412,1570519.3059902412,1151169.3452025806,1151169.3452025806,500000.0,651169.3452025806,651169.3452025806,1798495.1924079764
2026-01-01,114297.0,114297,0.4497833608426816,1593676.901971398,1593676.901971398,1167057.328211214,1167057.328211214,350000.0,817057.3282112139,817057.3282112139,2615552.5206191903
2026-02-01,109328.0,109328,0.47494831094003936,1453909.3947080937,1453909.3947080937,1064224.515926842,1064224.515926842,450000.0,614224.5159268421,614224.5159268421,3229777.0365460324
2026-03-01,98536.0,98536,0.4445342703216127,1357880.1610699124,1357880.1610699124,998303.549172174,998303.549172174,250000.0,748303.549172174,748303.549172174,3978080.585718206
2026-04-01,90904.0,90904,0.48170998217323696,1313677.0729044206,1313677.0729044206,963483.2436402708,963483.2436402708,250000.0,713483.2436402708,713483.2436402708,4691563.829358477
2026-05-01,84998.0,82226,0.49523089314242424,742827.5222100843,1262347.640780453,544902.0663514119,941364.6666857345,250000.0,294902.06635141186,691364.6666857345,5382928.496044212
2026-06-01,,77154,0.515819316893821,,1193924.5868018374,,898784.8540201731,250000.0,,648784.8540201731,6031713.350064385
2026-07-01,,74163,0.5348172214280321,,1229577.1308092747,,934670.948632182,300000.0,,634670.948632182,6666384.298696566
2026-08-01,,72384,0.5412138081792446,,1214437.2412074285,,922872.9514143078,350000.0,,572872.9514143078,7239257.250110874
2026-09-01,,70924,0.5417900432863849,,1152773.3671112054,,875989.0308132735,350000.0,,525989.0308132735,7765246.280924147
2026-10-01,,60531,0.5411955656382633,,1015525.9863058527,,771717.352244729,0.0,,771717.352244729,8536963.633168876
2026-11-01,,51789,0.5426074978251398,,843032.2296962962,,640592.3974475145,0.0,,640592.3974475145,9177556.030616391
2026-12-01,,46020,0.542006087127633,,773243.5355430031,,587579.3153767571,0.0,,587579.3153767571,9765135.345993148
2027-01-01,,41444,0.5420101075790024,,696362.1828350674,,529157.9126079698,0.0,,529157.9126079698,10294293.258601118
2027-02-01,,37805,0.5420126156284845,,573742.2862769543,,435980.35805951,0.0,,435980.35805951,10730273.616660628
2027-03-01,,34654,0.5420111529384901,,582265.9183511856,,442457.40216632455,0.0,,442457.40216632455,11172731.018826952
2027-04-01,,31759,0.5420056428021812,,516406.70842677803,,392411.82467937097,0.0,,392411.82467937097,11565142.843506323
2027-05-01,,29183,0.5419956682503351,,490327.2653349154,,372594.51982573594,0.0,,372594.51982573594,11937737.36333206
2027-06-01,,26903,0.541980326692009,,437427.52635680104,,332396.8121250912,0.0,,332396.8121250912,12270134.17545715
2027-07-01,,24907,0.5419586704946452,,418448.6368247083,,317975.27594070765,0.0,,317975.27594070765,12588109.451397857
2027-08-01,,23139,0.5419302578869896,,388734.7847520367,,295396.39804397605,0.0,,295396.39804397605,12883505.849441832
2027-09-01,,21618,0.5418977038345717,,351449.23165423993,,267063.829782949,0.0,,267063.829782949,13150569.679224782
2027-10-01,,20264,0.541864288510687,,340395.2302738304,,258664.388501237,0.0,,258664.388501237,13409234.067726018
2027-11-01,,19043,0.5418333551818779,,309551.6169787553,,235226.8547552477,0.0,,235226.8547552477,13644460.922481265
2027-12-01,,17952,0.5418070073096211,,301522.66070404474,,229125.97941206768,0.0,,229125.97941206768,13873586.901893333
