month,platform,iap_arpdau,ad_arpdau
2026-05,ios,0.080,0.020
2026-05,android,0.040,0.030
2026-06,ios,0.080,0.020
2026-06,android,0.040,0.030
2026-07,ios,0.080,0.020
2026-07,android,0.040,0.030
2026-08,ios,0.080,0.020
2026-08,android,0.040,0.030
2026-09,ios,0.080,0.020
2026-09,android,0.040,0.030
2026-10,ios,0.080,0.020
2026-10,android,0.040,0.030
2026-11,ios,0.080,0.020
2026-11,android,0.040,0.030
2026-12,ios,0.080,0.020
2026-12,android,0.040,0.030
2027-01,ios,0.080,0.020
2027-01,android,0.040,0.030
2027-02,ios,0.080,0.020
2027-02,android,0.040,0.030
2027-03,ios,0.080,0.020
2027-03,android,0.040,0.030
2027-04,ios,0.080,0.020
2027-04,android,0.040,0.030
