month,platform,budget
2026-05,ios,50000
2026-05,android,30000
2026-06,ios,50000
2026-06,android,30000
2026-07,ios,50000
2026-07,android,30000
2026-08,ios,50000
2026-08,android,30000
2026-09,ios,50000
2026-09,android,30000
2026-10,ios,50000
2026-10,android,30000
2026-11,ios,50000
2026-11,android,30000
2026-12,ios,50000
2026-12,android,30000
2027-01,ios,50000
2027-01,android,30000
2027-02,ios,50000
2027-02,android,30000
2027-03,ios,50000
2027-03,android,30000
2027-04,ios,50000
2027-04,android,30000
