Date,DAU (Act),DAU,ARPDAU (Act),ARPDAU,Gross Rev (Act),Gross Rev,Net Rev (Act),Net Rev,Mktg Cost (Act),Mktg Cost,Game Margin (Act),Game Margin,Cumul. Margin
2025-10-01,127265.0,127265,0.3942026986702478,0.3942026986702478,1555210.457807355,1555210.457807355,1141846.6967203838,1141846.6967203838,574462.126381491,574462.0,567384.5703388929,567384.6967203838,567384.6967203838
2025-11-01,119314.0,119314,0.4158785244234047,0.4158785244234047,1488604.7396486723,1488604.7396486723,1091991.5146010118,1091991.5146010118,510969.1951464214,510969.0,581022.3194545903,581022.5146010118,1148407.2113213956
2025-12-01,117685.0,117685,0.43048860911545794,0.43048860911545794,1570519.3059902415,1570519.3059902415,1151169.3452025806,1151169.3452025806,640616.7149712659,640617.0,510552.6302313147,510552.34520258056,1658959.5565239761
2026-01-01,114297.0,114297,0.44978386861260616,0.44978386861260616,1593676.901971398,1593676.901971398,1167057.328211214,1167057.328211214,364087.51926640014,364088.0,802969.8089448138,802969.3282112139,2461928.8847351903
2026-02-01,109328.0,109328,0.47494831094003936,0.47494831094003936,1453909.3947080937,1453909.3947080937,1064224.515926842,1064224.515926842,407247.3114704367,407247.0,656977.2044564055,656977.5159268421,3118906.4006620324
2026-03-01,98536.0,98536,0.4445351716003413,0.4445351716003413,1357878.913311089,1357878.913311089,998302.4885771739,998302.4885771739,275693.93341466,275694.0,722608.5551625139,722608.4885771739,3841514.8892392064
2026-04-01,90903.0,90903,0.48171352559913155,0.48171352559913155,1313669.876250303,1313669.876250303,963477.1264842708,963477.1264842708,263614.49983326514,263614.0,699862.6266510056,699863.1264842708,4541378.015723477
2026-05-01,83176.0,83176,0.5189948126867582,0.5189948126867582,1338210.9976839873,1338210.9976839873,981165.5830910851,981165.5830910851,241279.92481554637,241280.0,739885.6582755387,739885.5830910851,5281263.598814562
2026-06-01,78255.0,78255,0.4756880379178029,0.4756880379178029,1116742.362585199,1116742.362585199,820702.6816851686,820702.6816851686,215990.45314110874,215990.0,604712.2285440599,604712.6816851686,5885976.28049973
2026-07-01,,70248,,0.4775877234637923,,1040031.3390873789,,796163.9158208414,,0.0,,796163.9158208414,6682140.196320572
2026-08-01,,60702,,0.477582697383709,,898691.191143486,,687965.6898708023,,0.0,,687965.6898708023,7370105.886191375
2026-09-01,,54163,,0.477569257835719,,775998.9132138399,,594043.1938831417,,0.0,,594043.1938831417,7964149.080074516
2026-10-01,,48658,,0.4775755338843659,,720370.5793351409,,551458.1899042681,,0.0,,551458.1899042681,8515607.269978784
2026-11-01,,43885,,0.4775884509598991,,628773.7992482549,,481338.35288964276,,0.0,,481338.35288964276,8996945.622868426
2026-12-01,,39880,,0.47759599196027475,,590443.9092098719,,451995.72997102037,,0.0,,451995.72997102037,9448941.352839446
2027-01-01,,36538,,0.4775906193224691,,540958.2704371179,,414113.7934708077,,0.0,,414113.7934708077,9863055.146310253
2027-02-01,,33733,,0.47757945854682815,,451090.6101692561,,345318.80588154384,,0.0,,345318.80588154384,10208373.952191796
2027-03-01,,31244,,0.4775618191523369,,462547.836125893,,354090.19924628927,,0.0,,354090.19924628927,10562464.151438085
2027-04-01,,29008,,0.4775334534644482,,415573.08046548656,,318130.9786736574,,0.0,,318130.9786736574,10880595.130111743
2027-05-01,,27044,,0.4774965904671258,,400309.47541510506,,306447.52307180286,,0.0,,306447.52307180286,11187042.653183546
2027-06-01,,25283,,0.47745400369736646,,362140.14637695265,,277229.13664782525,,0.0,,277229.13664782525,11464271.789831372
2027-07-01,,23681,,0.47740807526526613,,350467.21495523874,,268294.46006352355,,0.0,,268294.46006352355,11732566.249894895
2027-08-01,,22181,,0.47736024059814103,,328243.5828805076,,251282.79160035486,,0.0,,251282.79160035486,11983849.041495249
2027-09-01,,20826,,0.4773131373835671,,298215.4369263944,,228296.2549376017,,0.0,,228296.2549376017,12212145.29643285
2027-10-01,,19586,,0.47726722608315014,,289780.6644468594,,221840.16466196228,,0.0,,221840.16466196228,12433985.461094813
2027-11-01,,18456,,0.4772238368128233,,264227.54696850805,,202279.02933853827,,0.0,,202279.02933853827,12636264.490433352
2027-12-01,,17432,,0.47718471695758596,,257872.58265003594,,197414.8122365339,,0.0,,197414.8122365339,12833679.302669886
2028-01-01,,16496,,0.4771511932788825,,244004.12127362774,,186798.44960915917,,0.0,,186798.44960915917,13020477.752279045
2028-02-01,,15685,,0.4771267331305546,,217029.7143893332,,166148.50143774992,,0.0,,166148.50143774992,13186626.253716795
2028-03-01,,14965,,0.477112436135354,,221341.55635628442,,169449.7163045231,,0.0,,169449.7163045231,13356075.970021319
2028-04-01,,14314,,0.4771074845972638,,204881.7242267798,,156848.8484917048,,0.0,,156848.8484917048,13512924.818513023
2028-05-01,,13727,,0.4771062365899491,,203023.5493842768,,155426.32835357636,,0.0,,155426.32835357636,13668351.1468666
2028-06-01,,13199,,0.47710783679953067,,188924.82729315717,,144632.91257328447,,0.0,,144632.91257328447,13812984.059439883
2028-07-01,,12732,,0.47711263598869774,,188314.8120412889,,144165.837300352,,0.0,,144165.837300352,13957149.896740235
2028-08-01,,12319,,0.4771210531688242,,182200.01639878532,,139484.4847251159,,0.0,,139484.4847251159,14096634.381465351
2028-09-01,,11969,,0.4771331000805381,,171320.73720104547,,131155.6099765346,,0.0,,131155.6099765346,14227789.991441885
