Date,DAU Actuals (avg),DAU (avg),ARPDAU,Gross Rev (Act),Revenue (Gross),Net Rev (Act),Revenue (Net),Marketing Cost,Game Margin (Act),Game Margin,Cumul. Margin
2025-10-01,127266.0,127266,0.3942006845689027,1555213.5493838259,1555213.5493838259,1141849.3245603838,1141849.3245603838,574515.0,567334.3245603838,567334.3245603838,567334.3245603838
2025-11-01,119314.0,119314,0.41587829469551585,1488604.749112202,1488604.749112202,1091991.522645012,1091991.522645012,512000.0,579991.522645012,579991.522645012,1147325.8472053958
2025-12-01,117685.0,117685,0.4304884911160222,1570519.3059902412,1570519.3059902412,1151169.3452025806,1151169.3452025806,500000.0,651169.3452025806,651169.3452025806,1798495.1924079764
2026-01-01,114297.0,114297,0.4497833608426816,1593676.901971398,1593676.901971398,1167057.328211214,1167057.328211214,350000.0,817057.3282112139,817057.3282112139,2615552.5206191903
2026-02-01,109328.0,109328,0.47494831094003936,1453909.3947080937,1453909.3947080937,1064224.515926842,1064224.515926842,450000.0,614224.5159268421,614224.5159268421,3229777.0365460324
2026-03-01,98536.0,98536,0.4445342703216127,1357880.1610699124,1357880.1610699124,998303.549172174,998303.549172174,250000.0,748303.549172174,748303.549172174,3978080.585718206
2026-04-01,90904.0,90904,0.48170998217323696,1313677.0729044206,1313677.0729044206,963483.2436402708,963483.2436402708,250000.0,713483.2436402708,713483.2436402708,4691563.829358477
2026-05-01,84998.0,82226,0.49523089314242424,742827.5222100843,1262347.640780453,544902.0663514119,941364.6666857345,250000.0,294902.06635141186,691364.6666857345,5382928.496044212
2026-06-01,,77154,0.515819316893821,,1193924.5868018374,,898784.8540201731,250000.0,,648784.8540201731,6031713.350064385
2026-07-01,,72897,0.534818343167941,,1208583.4882293146,,918712.4453722648,250000.0,,668712.4453722648,6700425.79543665
2026-08-01,,69159,0.5412276379762623,,1160346.87177292,,881768.1051504561,250000.0,,631768.1051504561,7332193.900587106
2026-09-01,,66158,0.541817882432057,,1075365.159519158,,817165.6662113388,250000.0,,567165.6662113388,7899359.566798445
2026-10-01,,63383,0.5412240084344745,,1063435.378707905,,808123.4900228285,250000.0,,558123.4900228285,8457483.056821274
2026-11-01,,61246,0.542622722737881,,997004.1146992198,,757590.0008084764,250000.0,,507590.00080847635,8965073.05762975
2026-12-01,,59127,0.5420146908880626,,993480.2469715595,,754934.472765917,250000.0,,504934.47276591696,9470007.530395666
2027-01-01,,57142,0.5419990333186688,,960096.4945346878,,729567.0861595832,250000.0,,479567.0861595832,9949574.61655525
2027-02-01,,56145,0.5419795998627615,,852027.2689377948,,647447.0418875434,250000.0,,397447.0418875434,10347021.658442793
2027-03-01,,54552,0.5419604059736793,,916523.367409928,,696457.6308375892,250000.0,,446457.63083758915,10793479.289280383
2027-04-01,,53145,0.5419397627179444,,864036.3751696905,,656573.9054886058,250000.0,,406573.90548860584,11200053.19476899
2027-05-01,,51724,0.5419179540709229,,868928.9600075134,,660292.4347471121,250000.0,,410292.4347471121,11610345.629516102
2027-06-01,,50619,0.5418972606739166,,822909.5840362525,,625323.2899340505,250000.0,,375323.2899340505,11985668.919450153
2027-07-01,,49423,0.5418774702773992,,830220.679588802,,630879.543959188,250000.0,,380879.54395918804,12366548.46340934
2027-08-01,,48296,0.5418588700171463,,811251.9318674624,,616465.8642381353,250000.0,,366465.8642381353,12733014.327647476
2027-09-01,,47537,0.5418420227940154,,772732.1465236761,,587195.3700049905,250000.0,,337195.3700049905,13070209.697652467
2027-10-01,,46651,0.5418274464349959,,783585.1111092416,,595442.9039816055,250000.0,,345442.90398160554,13415652.601634072
2027-11-01,,46041,0.5418155817692224,,748370.7079242482,,568683.958829923,250000.0,,318683.95882992295,13734336.560463995
2027-12-01,,45327,0.5418058999338592,,761303.3906821939,,578511.7242838312,250000.0,,328511.7242838312,14062848.284747826
2028-01-01,,38348,0.5417860056695502,,644072.3037988213,,489428.7111145296,0.0,,489428.7111145296,14552276.995862355
2028-02-01,,32648,0.5417629736851614,,512934.5368275526,,389777.92899719253,0.0,,389777.92899719253,14942054.924859548
2028-03-01,,29052,0.5417408299004827,,487899.2207897092,,370754.03922026197,0.0,,370754.03922026197,15312808.96407981
2028-04-01,,26340,0.5417407658675012,,428088.5303182294,,325303.9674744801,0.0,,325303.9674744801,15638112.93155429
2028-05-01,,24152,0.5417505659195132,,405608.0247006669,,308220.91186179157,0.0,,308220.91186179157,15946333.843416082
2028-06-01,,22331,0.5417634482277507,,362950.1771451573,,275805.10762057663,0.0,,275805.10762057663,16222138.951036658
2028-07-01,,20798,0.541777148439088,,349298.96126726246,,265431.4004493909,0.0,,265431.4004493909,16487570.35148605
2028-08-01,,19464,0.541790489691969,,326912.87426905223,,248420.1091761545,0.0,,248420.1091761545,16735990.460662205
2028-09-01,,18338,0.5418007192694825,,298060.7395608968,,226495.3468817654,0.0,,226495.3468817654,16962485.80754397
2028-10-01,,17374,0.5418071049665506,,291811.71543978516,,221746.66617890756,0.0,,221746.66617890756,17184232.47372288
2028-11-01,,16544,0.5418097867913068,,268916.36541908456,,204348.5460978676,0.0,,204348.5460978676,17388581.019820746
2028-12-01,,15816,0.5418095599138447,,265650.381482601,,201866.73926255334,0.0,,201866.73926255334,17590447.7590833
2029-01-01,,15141,0.5418084939404749,,254316.75479627604,,193254.36834921024,0.0,,193254.36834921024,17783702.12743251
2029-02-01,,14541,0.5418081018531038,,220593.94790976756,,167628.5343718868,0.0,,167628.5343718868,17951330.661804397
2029-03-01,,13979,0.5418085602738552,,234788.71411274353,,178415.08135112748,0.0,,178415.08135112748,18129745.743155524
2029-04-01,,13436,0.5418100105311952,,218386.5038336558,,165951.09038358758,0.0,,165951.09038358758,18295696.833539113
2029-05-01,,12930,0.5418125656100098,,217178.8024832276,,165033.34225104598,0.0,,165033.34225104598,18460730.17579016
2029-06-01,,12461,0.5418162963578598,,202546.0593896962,,153913.94893194668,0.0,,153913.94893194668,18614644.12472211
2029-07-01,,12027,0.5418212668436764,,202007.54218005066,,153504.6949652439,0.0,,153504.6949652439,18768148.81968735
2029-08-01,,11620,0.5418276063234366,,195178.1548633295,,148315.02638324612,0.0,,148315.02638324612,18916463.8460706
2029-09-01,,11253,0.5418350986352687,,182913.74480054714,,138995.30448635897,0.0,,138995.30448635897,19055459.15055696
2029-10-01,,10917,0.5418437894866474,,183377.94171938553,,139347.98704972657,0.0,,139347.98704972657,19194807.137606684
2029-11-01,,10612,0.5418535764704313,,172507.43384859723,,131087.48012430445,0.0,,131087.48012430445,19325894.61773099
