Date,DAU Actuals (avg),DAU (avg),ARPDAU,Gross Rev (Act),Revenue (Gross),Net Rev (Act),Revenue (Net),Marketing Cost,Game Margin (Act),Game Margin,Cumul. Margin
2025-10-01,127266.0,127266,0.3942006845689027,1555213.5493838259,1555213.5493838259,1141849.3245603838,1141849.3245603838,574515.0,567334.3245603838,567334.3245603838,567334.3245603838
2025-11-01,119314.0,119314,0.41587829469551585,1488604.749112202,1488604.749112202,1091991.522645012,1091991.522645012,512000.0,579991.522645012,579991.522645012,1147325.8472053958
2025-12-01,117685.0,117685,0.4304884911160222,1570519.3059902412,1570519.3059902412,1151169.3452025806,1151169.3452025806,500000.0,651169.3452025806,651169.3452025806,1798495.1924079764
2026-01-01,114297.0,114297,0.4497833608426816,1593676.901971398,1593676.901971398,1167057.328211214,1167057.328211214,350000.0,817057.3282112139,817057.3282112139,2615552.5206191903
2026-02-01,109328.0,109328,0.47494831094003936,1453909.3947080937,1453909.3947080937,1064224.515926842,1064224.515926842,450000.0,614224.5159268421,614224.5159268421,3229777.0365460324
2026-03-01,98536.0,98536,0.4445342703216127,1357880.1610699124,1357880.1610699124,998303.549172174,998303.549172174,250000.0,748303.549172174,748303.549172174,3978080.585718206
2026-04-01,90904.0,90904,0.48170998217323696,1313677.0729044206,1313677.0729044206,963483.2436402708,963483.2436402708,250000.0,713483.2436402708,713483.2436402708,4691563.829358477
2026-05-01,84998.0,82226,0.49523089314242424,742827.5222100843,1262347.640780453,544902.0663514119,941364.6666857345,250000.0,294902.06635141186,691364.6666857345,5382928.496044212
2026-06-01,,77154,0.515819316893821,,1193924.5868018374,,898784.8540201731,250000.0,,648784.8540201731,6031713.350064385
2026-07-01,,72897,0.534818343167941,,1208583.4882293146,,918712.4453722648,250000.0,,668712.4453722648,6700425.79543665
2026-08-01,,69159,0.5412276379762623,,1160346.87177292,,881768.1051504561,250000.0,,631768.1051504561,7332193.900587106
2026-09-01,,66158,0.541817882432057,,1075365.159519158,,817165.6662113388,250000.0,,567165.6662113388,7899359.566798445
2026-10-01,,63383,0.5412240084344745,,1063435.378707905,,808123.4900228285,250000.0,,558123.4900228285,8457483.056821274
2026-11-01,,61246,0.542622722737881,,997004.1146992198,,757590.0008084764,250000.0,,507590.00080847635,8965073.05762975
2026-12-01,,59127,0.5420146908880626,,993480.2469715595,,754934.472765917,250000.0,,504934.47276591696,9470007.530395666
2027-01-01,,57142,0.5419990333186688,,960096.4945346878,,729567.0861595832,250000.0,,479567.0861595832,9949574.61655525
2027-02-01,,56145,0.5419795998627615,,852027.2689377948,,647447.0418875434,250000.0,,397447.0418875434,10347021.658442793
2027-03-01,,54552,0.5419604059736793,,916523.367409928,,696457.6308375892,250000.0,,446457.63083758915,10793479.289280383
2027-04-01,,53145,0.5419397627179444,,864036.3751696905,,656573.9054886058,250000.0,,406573.90548860584,11200053.19476899
2027-05-01,,51724,0.5419179540709229,,868928.9600075134,,660292.4347471121,250000.0,,410292.4347471121,11610345.629516102
2027-06-01,,50619,0.5418972606739166,,822909.5840362525,,625323.2899340505,250000.0,,375323.2899340505,11985668.919450153
2027-07-01,,43091,0.5418768590672043,,723853.0981015937,,550051.494904921,0.0,,550051.494904921,12535720.414355073
2027-08-01,,36646,0.5418491943768021,,615549.1683225661,,467752.6333367359,0.0,,467752.6333367359,13003473.047691809
2027-09-01,,32498,0.5418172696705704,,528236.6585603026,,401404.92740567424,0.0,,401404.92740567424,13404877.975097483
2027-10-01,,29348,0.5418040189327951,,492922.9604932667,,374570.42911622033,0.0,,374570.42911622033,13779448.404213704
2027-11-01,,26748,0.541798943860405,,434765.6905660075,,330377.0046702387,0.0,,330377.0046702387,14109825.408883942
2027-12-01,,24560,0.5417980145999852,,412500.01268022455,,313457.40405234793,0.0,,313457.40405234793,14423282.812936291
2028-01-01,,22667,0.5418007122176023,,380714.1552258433,,289303.3977138225,0.0,,289303.3977138225,14712586.210650114
2028-02-01,,21106,0.5418053567002142,,331629.57669641625,,252004.13609448372,0.0,,252004.13609448372,14964590.346744599
2028-03-01,,19771,0.5418073165993545,,332074.6702649475,,252342.33721438888,0.0,,252342.33721438888,15216932.683958989
2028-04-01,,18615,0.5418055052623134,,302577.79992933414,,229927.79258326365,0.0,,229927.79258326365,15446860.476542253
2028-05-01,,17640,0.5418001522329898,,296284.25468863844,,225145.40821141773,0.0,,225145.40821141773,15672005.88475367
2028-06-01,,16813,0.541792727664262,,273270.52837242436,,207657.42952877755,0.0,,207657.42952877755,15879663.314282449
2028-07-01,,16096,0.541785796952197,,270341.536012225,,205431.76610054934,0.0,,205431.76610054934,16085095.080382999
2028-08-01,,15433,0.5417810987857754,,259206.2553943137,,196970.14268027828,0.0,,196970.14268027828,16282065.223063277
2028-09-01,,14822,0.54177798580492,,240912.3672465982,,183068.69337355407,0.0,,183068.69337355407,16465133.91643683
2028-10-01,,14250,0.5417764832239105,,239326.20068583224,,181863.3826569131,0.0,,181863.3826569131,16646997.299093744
2028-11-01,,13714,0.541776823767427,,222890.38371280546,,169373.84356740894,0.0,,169373.84356740894,16816371.142661154
2028-12-01,,13211,0.5417788252262733,,221876.85174857423,,168603.6468604722,0.0,,168603.6468604722,16984974.789521627
2029-01-01,,12732,0.5417825105186013,,213831.64917654532,,162490.08925383125,0.0,,162490.08925383125,17147464.87877546
2029-02-01,,12304,0.5417876011863234,,186653.58746762865,,141837.51910480764,0.0,,141837.51910480764,17289302.397880267
2029-03-01,,11904,0.541794318819506,,199930.18549982735,,151926.31807333307,0.0,,151926.31807333307,17441228.7159536
2029-04-01,,11517,0.5418029702011639,,187190.7389629346,,142245.59331405032,0.0,,142245.59331405032,17583474.30926765
2029-05-01,,11156,0.5418133732841419,,187379.14468825163,,142388.69058810323,0.0,,142388.69058810323,17725862.999855753
2029-06-01,,10821,0.5418254744775156,,175892.86163268262,,133660.2301592123,0.0,,133660.2301592123,17859523.230014965
2029-07-01,,10511,0.5418391917997372,,176551.0611383241,,134160.30421085583,0.0,,134160.30421085583,17993683.53422582
2029-08-01,,10220,0.5418546354132411,,171672.52783189944,,130453.0328146932,0.0,,130453.0328146932,18124136.567040514
2029-09-01,,9957,0.5418711067676792,,161870.2267446248,,123004.21892180498,0.0,,123004.21892180498,18247140.78596232
2029-10-01,,9718,0.5418885876759609,,163241.99664057328,,124046.51391295737,0.0,,124046.51391295737,18371187.299875278
2029-11-01,,9500,0.5419067625889864,,154439.74337801666,,117357.6368157472,0.0,,117357.6368157472,18488544.936691023
