Date,DAU Actuals (avg),DAU (avg),ARPDAU,Gross Rev (Act),Revenue (Gross),Net Rev (Act),Revenue (Net),Marketing Cost,Game Margin (Act),Game Margin,Cumul. Margin
2025-10-01,127266.0,127266,0.3942006845689027,1555213.5493838259,1555213.5493838259,1141849.3245603838,1141849.3245603838,574515.0,567334.3245603838,567334.3245603838,567334.3245603838
2025-11-01,119314.0,119314,0.41587829469551585,1488604.749112202,1488604.749112202,1091991.522645012,1091991.522645012,512000.0,579991.522645012,579991.522645012,1147325.8472053958
2025-12-01,117685.0,117685,0.4304884911160222,1570519.3059902412,1570519.3059902412,1151169.3452025806,1151169.3452025806,500000.0,651169.3452025806,651169.3452025806,1798495.1924079764
2026-01-01,114297.0,114297,0.4497833608426816,1593676.901971398,1593676.901971398,1167057.328211214,1167057.328211214,350000.0,817057.3282112139,817057.3282112139,2615552.5206191903
2026-02-01,109328.0,109328,0.47494831094003936,1453909.3947080937,1453909.3947080937,1064224.515926842,1064224.515926842,450000.0,614224.5159268421,614224.5159268421,3229777.0365460324
2026-03-01,98536.0,98536,0.4445342703216127,1357880.1610699124,1357880.1610699124,998303.549172174,998303.549172174,250000.0,748303.549172174,748303.549172174,3978080.585718206
2026-04-01,90904.0,90904,0.48170998217323696,1313677.0729044206,1313677.0729044206,963483.2436402708,963483.2436402708,250000.0,713483.2436402708,713483.2436402708,4691563.829358477
2026-05-01,84998.0,82671,0.4952301463237158,742827.5222100843,1269175.5028356467,544902.0663514119,946456.4259082477,250000.0,294902.06635141186,696456.4259082477,5388020.255266725
2026-06-01,,77489,0.5158188886337556,,1199108.676831366,,902687.4528535197,250000.0,,652687.4528535197,6040707.708120245
2026-07-01,,67153,0.5348245777241781,,1113361.068380837,,846328.2541150509,0.0,,846328.2541150509,6887035.962235295
2026-08-01,,58215,0.5412502759354377,,976773.5439420487,,742266.6736682993,0.0,,742266.6736682993,7629302.635903595
2026-09-01,,51797,0.5418388307739075,,841972.629143913,,639810.9719952245,0.0,,639810.9719952245,8269113.607898819
2026-10-01,,46700,0.541268240635865,,783598.8807389801,,595469.4743158686,0.0,,595469.4743158686,8864583.082214687
2026-11-01,,42520,0.5426995473579597,,692273.4446232817,,526033.4342568251,0.0,,526033.4342568251,9390616.516471513
2026-12-01,,38880,0.5421314059303928,,653421.2644172102,,496524.67640849773,0.0,,496524.67640849773,9887141.19288001
2027-01-01,,35606,0.5421335028055396,,598404.8153915585,,454718.48473760963,0.0,,454718.48473760963,10341859.67761762
2027-02-01,,32886,0.5421270459674133,,499188.9936346476,,379326.04766725574,0.0,,379326.04766725574,10721185.725284876
2027-03-01,,30483,0.5421127486086863,,512277.7786688142,,389272.2829949563,0.0,,389272.2829949563,11110458.008279832
2027-04-01,,28267,0.5420906468442607,,459695.15871631243,,349315.90299277514,0.0,,349315.90299277514,11459773.911272608
2027-05-01,,26287,0.5420618243133949,,441732.6562231255,,335666.91638537106,0.0,,335666.91638537106,11795440.827657979
2027-06-01,,24502,0.5420279268550671,,398417.5653318091,,302752.8361064394,0.0,,302752.8361064394,12098193.663764419
2027-07-01,,22874,0.5419911451431416,,384318.49259241734,,292039.6347697386,0.0,,292039.6347697386,12390233.298534157
2027-08-01,,21357,0.541952780831292,,358805.38972645206,,272652.9978162147,0.0,,272652.9978162147,12662886.296350371
2027-09-01,,19995,0.5419152872740242,,325073.5519949361,,247020.92420500936,0.0,,247020.92420500936,12909907.22055538
2027-10-01,,18762,0.5418795182796337,,315173.38442747487,,239498.27588051886,0.0,,239498.27588051886,13149405.4964359
2027-11-01,,17653,0.5418471327362844,,286963.9968919214,,218062.4806234433,0.0,,218062.4806234433,13367467.977059342
2027-12-01,,16668,0.5418202708761801,,279955.4844922108,,212737.0238523064,0.0,,212737.0238523064,13580205.000911647
2028-01-01,,15788,0.5418009337053014,,265166.7638225566,,201499.32399549484,0.0,,201499.32399549484,13781704.324907143
2028-02-01,,15039,0.5417896919382527,,236298.38657808793,,179562.43964482643,0.0,,179562.43964482643,13961266.76455197
2028-03-01,,14365,0.5417809864751869,,241266.95641634555,,183338.11819094073,0.0,,183338.11819094073,14144604.88274291
2028-04-01,,13750,0.5417742749554675,,223477.09418907354,,169819.70430631159,0.0,,169819.70430631159,14314424.587049222
2028-05-01,,13206,0.5417703345784775,,221786.69202252483,,168535.20387784982,0.0,,168535.20387784982,14482959.790927071
2028-06-01,,12732,0.5417697182192084,,206935.9351204037,,157250.15209919584,0.0,,157250.15209919584,14640209.943026267
2028-07-01,,12327,0.5417730820717844,,207034.85914060796,,157325.29866183328,0.0,,157325.29866183328,14797535.2416881
2028-08-01,,11958,0.5417808207560239,,200830.7327347824,,152610.74063479362,0.0,,152610.74063479362,14950145.982322894
2028-09-01,,11614,0.5417911428129282,,188771.65213805804,,143447.0057447576,0.0,,143447.0057447576,15093592.988067651
2028-10-01,,11289,0.5418039978197401,,189603.06662381726,,144078.70558195797,0.0,,144078.70558195797,15237671.693649609
2028-11-01,,10980,0.5418193693970763,,178479.41946609892,,135625.7843599616,0.0,,135625.7843599616,15373297.47800957
2028-12-01,,10687,0.5418366789795528,,179503.28201252848,,136403.69924950585,0.0,,136403.69924950585,15509701.177259076
2029-01-01,,10402,0.541855842633413,,174728.31202870148,,132775.09908581025,0.0,,132775.09908581025,15642476.276344886
2029-02-01,,10143,0.5418752575111128,,153900.3257658547,,116947.91529665778,0.0,,116947.91529665778,15759424.191641543
2029-03-01,,9897,0.5418955271225383,,166250.4697447394,,126332.59038051098,0.0,,126332.59038051098,15885756.782022053
2029-04-01,,9653,0.5419170562576402,,156940.3856593729,,119257.79738142689,0.0,,119257.79738142689,16005014.57940348
2029-05-01,,9423,0.5419389090485596,,158304.86927742598,,120294.53105460393,0.0,,120294.53105460393,16125309.110458085
2029-06-01,,9205,0.5419609113867773,,149667.98379344188,,113731.31397085174,0.0,,113731.31397085174,16239040.424428938
2029-07-01,,9002,0.5419828506704135,,151240.0066608737,,114925.75780655458,0.0,,114925.75780655458,16353966.182235492
2029-08-01,,8809,0.5420048605737525,,148011.87995481436,,112472.6172869112,0.0,,112472.6172869112,16466438.799522404
2029-09-01,,8635,0.5420259790148556,,140406.19051966284,,106693.02782732532,0.0,,106693.02782732532,16573131.82734973
2029-10-01,,8476,0.5420462788293519,,142421.29786182247,,108224.1783328134,0.0,,108224.1783328134,16681356.005682543
2029-11-01,,8333,0.542065488262168,,135506.49117937783,,102969.60697258386,0.0,,102969.60697258386,16784325.612655126
