Date,DAU (Act),DAU,Boost DAU,Boost DAU %,ARPDAU (Act),ARPDAU,Gross Rev (Act),Gross Rev,Net Rev (Act),Net Rev,Mktg Cost (Act),Mktg Cost,Game Margin (Act),Game Margin,Cumul. Margin
2025-11-01,119310.0,119310,,,0.4158798937235884,0.4158798937235884,1488559.3194847337,1488559.3194847337,1091959.1596720791,1091959.1596720791,510969.1951464214,510969.0,580989.9645256577,580990.1596720791,580990.1596720791
2025-12-01,117681.0,117681,,,0.43049280231128256,0.43049280231128256,1570481.6530973946,1570481.6530973946,1151141.809861412,1151141.809861412,640616.7149712658,640617.0,510525.0948901463,510524.80986141204,1091514.9695334912
2026-01-01,114294.0,114294,,,0.44978741953315177,0.44978741953315177,1593641.80614791,1593641.80614791,1167032.3420963609,1167032.3420963609,364087.51926640014,364088.0,802944.8228299607,802944.3420963609,1894459.311629852
2026-02-01,109325.0,109325,,,0.47494711618442037,0.47494711618442037,1453859.6674578968,1453859.6674578968,1064187.2006114696,1064187.2006114696,407247.31147043675,407247.0,656939.8891410328,656940.2006114696,2551399.5122413216
2026-03-01,98533.0,98533,,,0.4445398708468403,0.4445398708468403,1357863.0389370243,1357863.0389370243,1017216.7245530633,1017216.7245530633,275693.9334146599,275694.0,741522.7911384034,741522.7245530633,3292922.236794385
2026-04-01,90901.0,90901,,,0.4817186164957694,0.4817186164957694,1313658.2284307592,1313658.2284307592,995255.989204897,995255.989204897,263614.49983326514,263614.0,731641.4893716318,731641.989204897,4024564.225999282
2026-05-01,83175.0,83175,,,0.5189954894969185,0.5189954894969185,1338195.0969700082,1338195.0969700082,1017496.7157294512,1017496.7157294512,241279.92481554637,241280.0,776216.7909139048,776216.7157294512,4800780.9417287335
2026-06-01,78252.0,78252,,,0.475696878020976,0.475696878020976,1116726.4872700444,1116726.4872700444,853300.2311633227,853300.2311633227,225004.77262970124,225005.0,628295.4585336214,628295.2311633227,5429076.172892056
2026-07-01,73013.0,73013,,,0.44723000021083115,0.44723000021083115,1012266.196467198,1012266.196467198,778147.6240692155,778147.6240692155,196191.12514787877,196191.0,581956.4989213367,581956.6240692155,6011032.796961272
2026-08-01,63589.0,64170,0.0,0.0,0.47733009361447964,0.47759894861289354,758825.4923916531,950079.4393050012,579920.8375270079,730513.7258078976,35188.282883,50000.0,544732.5546440079,680513.7258078976,6691546.52276917
