Date,DAU (Act),DAU,Boost DAU,Boost DAU %,ARPDAU (Act),ARPDAU,Gross Rev (Act),Gross Rev,Net Rev (Act),Net Rev,Mktg Cost (Act),Mktg Cost,Game Margin (Act),Game Margin,Cumul. Margin
2025-10-01,127264.0,127264,,,0.3942050473498037,0.3942050473498037,1555207.5034732146,1555207.5034732146,1141844.5529823678,1141844.5529823678,574462.1263814908,574462.0,567382.426600877,567382.5529823678,567382.5529823678
2025-11-01,119313.0,119313,,,0.4158808628248214,0.41588086282482145,1488600.633348263,1488600.6333482633,1091988.5824560784,1091988.5824560784,510969.1951464213,510969.0,581019.3873096571,581019.5824560784,1148402.1354384462
2025-12-01,117684.0,117684,,,0.4304904586568507,0.4304904586568507,1570512.7083291707,1570512.7083291707,1151164.6827486549,1151164.6827486549,640616.7149712659,640617.0,510547.967777389,510547.68274865486,1658949.818187101
2026-01-01,114296.0,114296,,,0.4497845797868576,0.4497845797868576,1593665.0287017194,1593665.0287017194,1167048.9631338506,1167048.9631338506,364087.51926640014,364088.0,802961.4438674505,802960.9631338506,2461910.781320952
2026-02-01,109327.0,109327,,,0.4749480290021503,0.4749480290021503,1453894.7581483964,1453894.7581483964,1064214.2106371715,1064214.2106371715,407247.3114704367,407247.0,656966.8991667349,656967.2106371715,3118877.9919581236
2026-03-01,98535.0,98535,,,0.4445380797405321,0.4445380797405321,1357874.0158472764,1357874.0158472764,998298.8689634462,998298.8689634465,275693.9334146599,275694.0,722604.9355487863,722604.8689634465,3841482.86092157
2026-04-01,90902.0,90902,,,0.4817159154543821,0.4817159154543821,1313669.6495467736,1313669.6495467736,963476.9337862708,963476.9337862708,263614.4998332652,263614.0,699862.4339530056,699862.9337862708,4541345.794707841
2026-05-01,83176.0,83176,,,0.5189950139672144,0.5189950139672144,1338210.9976839873,1338210.9976839873,981165.5830910852,981165.5830910852,241279.92481554637,241280.0,739885.6582755388,739885.5830910852,5281231.377798926
2026-06-01,78254.0,78254,,,0.47569263840603465,0.47569263840603465,1116738.416385199,1116738.416385199,820699.3274151686,820699.3274151686,225004.7726297013,215990.0,595694.5547854673,604709.3274151686,5885940.705214094
2026-07-01,75244.0,74424,0.0,0.0,0.4398835640599192,0.47760776846017294,430281.3457400552,1101913.4196863456,316842.87332021515,843534.0483117079,90666.14675884676,210000.0,226176.72656136838,633534.0483117079,6519474.753525802
2026-08-01,,66958,0.0,0.0,,0.4776214277962525,,991397.2319627895,,758930.8735838346,,131000.0,,627930.8735838346,7147405.627109637
2026-09-01,,61031,0.0,0.0,,0.495924859744686,,908003.2697637834,,694236.3160656686,,121000.0,,573236.3160656686,7720641.943175305
2026-10-01,,57908,1908.0,3.295223418899076,,0.5229040730618383,,938687.0366749462,,716506.2792693835,,111000.0,,605506.2792693835,8326148.222444688
2026-11-01,,56468,4915.0,8.703106142077921,,0.5229010492121282,,885822.9175844404,,676154.9112112233,,101000.0,,575154.9112112233,8901303.133655911
2026-12-01,,55812,8230.0,14.746044279796317,,0.5228949485953684,,904696.7819903722,,690561.8326321852,,91000.0,,599561.8326321852,9500864.966288097
2027-01-01,,48249,5928.0,12.287163033336617,,0.5228885070156558,,782094.570173626,,596978.980649536,,0.0,,596978.980649536,10097843.946937634
2027-02-01,,42008,3927.0,9.347550529998868,,0.5228538443405089,,614994.5491629905,,469431.62841668434,,0.0,,469431.62841668434,10567275.575354317
2027-03-01,,38026,3203.0,8.423558518891298,,0.5227973894786497,,616284.5842149354,,470418.639217895,,0.0,,470418.639217895,11037694.214572212
2027-04-01,,34633,2665.0,7.6958668792919935,,0.5227603775659138,,543138.253653337,,414586.3596220917,,0.0,,414586.3596220917,11452280.574194303
2027-05-01,,31698,2211.0,6.976825109965663,,0.522730949402003,,513649.265624384,,392077.93576223496,,0.0,,392077.93576223496,11844358.509956539
2027-06-01,,29161,1852.0,6.352487674530476,,0.5226984571272599,,457270.7259711589,,349044.1475945328,,0.0,,349044.1475945328,12193402.65755107
2027-07-01,,26934,1555.0,5.772122136415958,,0.5226614521881547,,436397.47699330025,,333112.24202749954,,0.0,,333112.24202749954,12526514.89957857
2027-08-01,,24909,1287.0,5.1661932177465015,,0.5226219711075648,,403551.4141820617,,308041.1463631221,,0.0,,308041.1463631221,12834556.045941692
2027-09-01,,23137,1065.0,4.603023216980215,,0.5225813840814275,,362730.77381404064,,276882.6843718964,,0.0,,276882.6843718964,13111438.730313588
2027-10-01,,21581,895.0,4.146379732077282,,0.5225389045401734,,349592.32045088965,,266854.7190328444,,0.0,,266854.7190328444,13378293.449346432
2027-11-01,,20226,778.0,3.848154112280406,,0.5224950566992772,,317043.19004056655,,242009.87847830888,,0.0,,242009.87847830888,13620303.327824742
2027-12-01,,19046,705.0,3.701828153522229,,0.5224519053526899,,308464.7766824006,,235462.56944644765,,0.0,,235462.56944644765,13855765.89727119
2028-01-01,,17983,651.0,3.6205602269966697,,0.522412344226823,,291226.96449588716,,222305.0774155754,,0.0,,222305.0774155754,14078070.974686766
2028-02-01,,17059,604.0,3.5384491645221545,,0.5223815065434402,,258434.33288562048,,197273.69368247534,,0.0,,197273.69368247534,14275344.668369241
