Date,DAU (Act),DAU,ARPDAU (Act),ARPDAU,Gross Rev (Act),Gross Rev,Net Rev (Act),Net Rev,Mktg Cost (Act),Mktg Cost,Game Margin (Act),Game Margin,Cumul. Margin
2025-10-01,127265.0,127265,0.3942026986702478,0.3942026986702478,1555210.457807355,1555210.457807355,1141846.6967203838,1141846.6967203838,574462.126381491,574462.0,567384.5703388929,567384.6967203838,567384.6967203838
2025-11-01,119314.0,119314,0.4158785244234047,0.4158785244234047,1488604.7396486723,1488604.7396486723,1091991.5146010118,1091991.5146010118,510969.1951464214,510969.0,581022.3194545903,581022.5146010118,1148407.2113213956
2025-12-01,117685.0,117685,0.43048860911545794,0.43048860911545794,1570519.3059902415,1570519.3059902415,1151169.3452025806,1151169.3452025806,640616.7149712659,640617.0,510552.6302313147,510552.34520258056,1658959.5565239761
2026-01-01,114297.0,114297,0.44978386861260616,0.44978386861260616,1593676.901971398,1593676.901971398,1167057.328211214,1167057.328211214,364087.51926640014,364088.0,802969.8089448138,802969.3282112139,2461928.8847351903
2026-02-01,109328.0,109328,0.47494831094003936,0.47494831094003936,1453909.3947080937,1453909.3947080937,1064224.515926842,1064224.515926842,407247.3114704367,407247.0,656977.2044564055,656977.5159268421,3118906.4006620324
2026-03-01,98536.0,98536,0.4445351716003413,0.4445351716003413,1357878.913311089,1357878.913311089,998302.4885771739,998302.4885771739,275693.93341466,275694.0,722608.5551625139,722608.4885771739,3841514.8892392064
2026-04-01,90903.0,90903,0.48171352559913155,0.48171352559913155,1313669.876250303,1313669.876250303,963477.1264842708,963477.1264842708,263614.49983326514,263614.0,699862.6266510056,699863.1264842708,4541378.015723477
2026-05-01,83176.0,83176,0.5189948126867582,0.5189948126867582,1338210.9976839873,1338210.9976839873,981165.5830910851,981165.5830910851,241279.92481554637,241280.0,739885.6582755387,739885.5830910851,5281263.598814562
2026-06-01,78255.0,78255,0.4756880379178029,0.4756880379178029,1116742.362585199,1116742.362585199,820702.6816851686,820702.6816851686,215990.45314110874,215990.0,604712.2285440599,604712.6816851686,5885976.28049973
2026-07-01,,76858,,0.47761355264678856,,1137964.9094316042,,871131.5638491901,,300000.0,,571131.5638491901,6457107.8443489205
2026-08-01,,66072,,0.4776178033154504,,978272.4439611607,,748883.9193217965,,0.0,,748883.9193217965,7205991.763670717
2026-09-01,,57216,,0.4959011514596095,,851204.7572764882,,650811.1141723584,,0.0,,650811.1141723584,7856802.877843075
2026-10-01,,52975,,0.5228556612635141,,858641.2683407097,,655409.5569968536,,0.0,,655409.5569968536,8512212.434839929
2026-11-01,,50824,,0.5228491242744772,,797203.6623311115,,608513.9580230576,,0.0,,608513.9580230576,9120726.392862987
2026-12-01,,49801,,0.5228482797574535,,807184.405208145,,616132.4095897011,,0.0,,616132.4095897011,9736858.802452687
2027-01-01,,43869,,0.5228569313370712,,711051.556498112,,542752.7784487214,,0.0,,542752.7784487214,10279611.580901409
2027-02-01,,38846,,0.5228388263457103,,568681.6542578193,,434081.0900687295,,0.0,,434081.0900687295,10713692.670970138
2027-03-01,,35443,,0.5227950950782743,,574415.3825011563,,438459.37984841014,,0.0,,438459.37984841014,11152152.050818548
2027-04-01,,32497,,0.5227608182199424,,509651.0968968489,,389025.047314367,,0.0,,389025.047314367,11541177.098132914
2027-05-01,,29937,,0.5227287081943502,,485111.1163764146,,370294.3136630461,,0.0,,370294.3136630461,11911471.41179596
2027-06-01,,27711,,0.5226916408311372,,434527.6329589608,,331684.0741289175,,0.0,,331684.0741289175,12243155.48592488
2027-07-01,,25746,,0.5226494237776483,,417145.56692081876,,318417.14971528505,,0.0,,318417.14971528505,12561572.635640165
2027-08-01,,23938,,0.5226047840337094,,387812.7246093836,,296027.84452201007,,0.0,,296027.84452201007,12857600.480162175
2027-09-01,,22325,,0.5225601570948202,,349982.6630662057,,267152.1845350153,,0.0,,267152.1845350153,13124752.66469719
2027-10-01,,20882,,0.5225149333240543,,338238.5432350454,,258188.56669277028,,0.0,,258188.56669277028,13382941.23138996
2027-11-01,,19604,,0.5224696501333614,,307278.9840068056,,234557.046921969,,0.0,,234557.046921969,13617498.278311929
2027-12-01,,18479,,0.5224262332934405,,299275.9218052749,,228448.88847827524,,0.0,,228448.88847827524,13845947.166790204
2028-01-01,,17463,,0.5223872665701136,,282788.2675461417,,215863.95817888132,,0.0,,215863.95817888132,14061811.124969086
2028-02-01,,16581,,0.5223576481140433,,251168.08866851038,,191727.46595608594,,0.0,,191727.46595608594,14253538.590925172
2028-03-01,,15795,,0.5223386394241525,,255754.8150620059,,195229.03651269327,,0.0,,195229.03651269327,14448767.627437865
2028-04-01,,15082,,0.5223293814744833,,236327.2399736862,,180399.24931465223,,0.0,,180399.24931465223,14629166.876752518
2028-05-01,,14437,,0.522323914305353,,233765.49801815423,,178443.84120931814,,0.0,,178443.84120931814,14807610.717961837
2028-06-01,,13857,,0.522321388106275,,217132.57571898933,,165747.21135272278,,0.0,,165747.21135272278,14973357.92931456
2028-07-01,,13341,,0.5223222802901661,,216024.39254744587,,164901.27168541626,,0.0,,164901.27168541626,15138259.200999975
2028-08-01,,12883,,0.5223270866362449,,208601.52805141936,,159234.9938529333,,0.0,,159234.9938529333,15297494.19485291
2028-09-01,,12493,,0.522336085255835,,195764.0077293763,,149435.4158072051,,0.0,,149435.4158072051,15446929.610660113
