Date,DAU (Act),DAU,ARPDAU (Act),ARPDAU,Gross Rev (Act),Gross Rev,Net Rev (Act),Net Rev,Mktg Cost (Act),Mktg Cost,Game Margin (Act),Game Margin,Cumul. Margin
2025-10-01,127265.0,127265,0.3942026986702478,0.3942026986702478,1555210.457807355,1555210.457807355,1141846.6967203838,1141846.6967203838,574462.126381491,574462.0,567384.5703388929,567384.6967203838,567384.6967203838
2025-11-01,119314.0,119314,0.4158785244234047,0.4158785244234047,1488604.7396486723,1488604.7396486723,1091991.5146010118,1091991.5146010118,510969.1951464214,510969.0,581022.3194545903,581022.5146010118,1148407.2113213956
2025-12-01,117685.0,117685,0.43048860911545794,0.43048860911545794,1570519.3059902415,1570519.3059902415,1151169.3452025806,1151169.3452025806,640616.7149712659,640617.0,510552.6302313147,510552.34520258056,1658959.5565239761
2026-01-01,114297.0,114297,0.44978386861260616,0.44978386861260616,1593676.901971398,1593676.901971398,1167057.328211214,1167057.328211214,364087.51926640014,364088.0,802969.8089448138,802969.3282112139,2461928.8847351903
2026-02-01,109328.0,109328,0.47494831094003936,0.47494831094003936,1453909.3947080937,1453909.3947080937,1064224.515926842,1064224.515926842,407247.3114704367,407247.0,656977.2044564055,656977.5159268421,3118906.4006620324
2026-03-01,98536.0,98536,0.4445351716003413,0.4445351716003413,1357878.913311089,1357878.913311089,998302.4885771739,998302.4885771739,275693.93341466,275694.0,722608.5551625139,722608.4885771739,3841514.8892392064
2026-04-01,90903.0,90903,0.48171352559913155,0.48171352559913155,1313669.876250303,1313669.876250303,963477.1264842708,963477.1264842708,263614.49983326514,263614.0,699862.6266510056,699863.1264842708,4541378.015723477
2026-05-01,83176.0,83176,0.5189948126867582,0.5189948126867582,1338210.9976839873,1338210.9976839873,981165.5830910851,981165.5830910851,241279.92481554637,241280.0,739885.6582755387,739885.5830910851,5281263.598814562
2026-06-01,78255.0,78255,0.4756880379178029,0.4756880379178029,1116742.362585199,1116742.362585199,820702.6816851686,820702.6816851686,215990.45314110874,215990.0,604712.2285440599,604712.6816851686,5885976.28049973
2026-07-01,,76858,,0.47761355264678856,,1137964.9094316042,,871131.5638491901,,300000.0,,571131.5638491901,6457107.8443489205
2026-08-01,,66072,,0.4776178033154504,,978272.4439611607,,748883.9193217965,,0.0,,748883.9193217965,7205991.763670717
2026-09-01,,57216,,0.4959011514596095,,851204.7572764882,,650811.1141723584,,0.0,,650811.1141723584,7856802.877843075
2026-10-01,,51054,,0.5228642968879303,,827525.6132971776,,631658.1878729891,,0.0,,631658.1878729891,8488461.065716065
2026-11-01,,45878,,0.5228674333936112,,719643.3709555771,,549310.4939660619,,0.0,,549310.4939660619,9037771.559682127
2026-12-01,,41517,,0.5228743591978283,,672959.7114214282,,513676.11152136367,,0.0,,513676.11152136367,9551447.67120349
2027-01-01,,37902,,0.5228696622446285,,614353.7180025149,,468941.8292479727,,0.0,,468941.8292479727,10020389.500451462
2027-02-01,,34894,,0.5228583767801608,,510843.278439809,,389931.74443966214,,0.0,,389931.74443966214,10410321.244891124
2027-03-01,,32219,,0.5228406781240397,,522210.6358856162,,398609.1758064785,,0.0,,398609.1758064785,10808930.420697602
2027-04-01,,29815,,0.5228116354332983,,467625.18619012664,,356944.3992683316,,0.0,,356944.3992683316,11165874.819965933
2027-05-01,,27711,,0.5227730357523173,,449079.5757690534,,342789.44608900923,,0.0,,342789.44608900923,11508664.266054941
2027-06-01,,25846,,0.522727255698557,,405318.45154911274,,309387.13165978866,,0.0,,309387.13165978866,11818051.39771473
2027-07-01,,24182,,0.5226762792827885,,391812.9659092325,,299079.4715922545,,0.0,,299079.4715922545,12117130.869306985
2027-08-01,,22643,,0.522622089949789,,366841.7531703792,,280019.7175335032,,0.0,,280019.7175335032,12397150.586840488
2027-09-01,,21253,,0.5225684654691921,,333183.6119400551,,254328.7844748849,,0.0,,254328.7844748849,12651479.371315373
2027-10-01,,19981,,0.5225159888136148,,323650.3948116165,,247052.932091268,,0.0,,247052.932091268,12898532.30340664
2027-11-01,,18821,,0.5224661452175633,,294998.1936819495,,225182.74895742774,,0.0,,225182.74895742774,13123715.052364068
2027-12-01,,17770,,0.522420894478438,,287780.68353130296,,219674.23075114755,,0.0,,219674.23075114755,13343389.283115216
2028-01-01,,16807,,0.5223817075418677,,272173.45382269204,,207761.3334751338,,0.0,,207761.3334751338,13551150.616590349
2028-02-01,,15973,,0.5223525759600984,,241962.2616900429,,184700.3418065384,,0.0,,184700.3418065384,13735850.958396887
2028-03-01,,15232,,0.5223347206665618,,246634.26727391372,,188266.98073758802,,0.0,,188266.98073758802,13924117.939134475
2028-04-01,,14560,,0.52232723698096,,228159.16025501338,,174164.21798671596,,0.0,,174164.21798671596,14098282.15712119
2028-05-01,,13955,,0.5223238681819015,,225954.54234838785,,172481.38403445226,,0.0,,172481.38403445226,14270763.541155644
2028-06-01,,13410,,0.5223236923308563,,210136.28111849274,,160406.587904061,,0.0,,160406.587904061,14431170.129059704
2028-07-01,,12928,,0.5223271509647598,,209330.20682852314,,159791.22646784928,,0.0,,159791.22646784928,14590961.355527554
2028-08-01,,12500,,0.5223347359899607,,202406.94211075504,,154506.28269035128,,0.0,,154506.28269035128,14745467.638217906
2028-09-01,,12138,,0.522346577057308,,190204.8288953621,,145191.7132004069,,0.0,,145191.7132004069,14890659.351418313
