Date,DAU (Act),DAU,Boost DAU,Boost DAU %,ARPDAU (Act),ARPDAU,Gross Rev (Act),Gross Rev,Net Rev (Act),Net Rev,Mktg Cost (Act),Mktg Cost,Game Margin (Act),Game Margin,Cumul. Margin
2025-10-01,127264.0,127264,,,0.3942050473498037,0.3942050473498037,1555207.5034732146,1555207.5034732146,1141844.5529823678,1141844.5529823678,574462.1263814908,574462.0,567382.426600877,567382.5529823678,567382.5529823678
2025-11-01,119313.0,119313,,,0.4158808628248214,0.41588086282482145,1488600.633348263,1488600.6333482633,1091988.5824560784,1091988.5824560784,510969.1951464213,510969.0,581019.3873096571,581019.5824560784,1148402.1354384462
2025-12-01,117684.0,117684,,,0.4304904586568507,0.4304904586568507,1570512.7083291707,1570512.7083291707,1151164.6827486549,1151164.6827486549,640616.7149712659,640617.0,510547.967777389,510547.68274865486,1658949.818187101
2026-01-01,114296.0,114296,,,0.4497845797868576,0.4497845797868576,1593665.0287017194,1593665.0287017194,1167048.9631338506,1167048.9631338506,364087.51926640014,364088.0,802961.4438674505,802960.9631338506,2461910.781320952
2026-02-01,109327.0,109327,,,0.4749480290021503,0.4749480290021503,1453894.7581483964,1453894.7581483964,1064214.2106371715,1064214.2106371715,407247.3114704367,407247.0,656966.8991667349,656967.2106371715,3118877.9919581236
2026-03-01,98535.0,98535,,,0.4445380797405321,0.4445380797405321,1357874.0158472764,1357874.0158472764,998298.8689634462,998298.8689634465,275693.9334146599,275694.0,722604.9355487863,722604.8689634465,3841482.86092157
2026-04-01,90902.0,90902,,,0.4817159154543821,0.4817159154543821,1313669.6495467736,1313669.6495467736,963476.9337862708,963476.9337862708,263614.4998332652,263614.0,699862.4339530056,699862.9337862708,4541345.794707841
2026-05-01,83176.0,83176,,,0.5189950139672144,0.5189950139672144,1338210.9976839873,1338210.9976839873,981165.5830910852,981165.5830910852,241279.92481554637,241280.0,739885.6582755388,739885.5830910852,5281231.377798926
2026-06-01,78254.0,78254,,,0.47569263840603465,0.47569263840603465,1116738.416385199,1116738.416385199,820699.3274151686,820699.3274151686,225004.7726297013,215990.0,595694.5547854673,604709.3274151686,5885940.705214094
2026-07-01,75244.0,74204,0.0,0.0,0.4398835640599192,0.4776069362145657,430281.3457400552,1098648.967341538,316842.87332021515,841035.1267107629,90666.14675884676,200000.0,226176.72656136838,641035.1267107629,6526975.831924858
2026-08-01,,63892,0.0,0.0,,0.47760828135905864,,945980.1978185553,,724164.3929630892,,0.0,,724164.3929630892,7251140.224887947
2026-09-01,,55851,0.0,0.0,,0.47759086952218766,,800213.452867332,,612578.5257496161,,0.0,,612578.5257496161,7863718.750637563
2026-10-01,,49943,0.0,0.0,,0.47758085186586013,,739406.6355191537,,566030.3564439481,,0.0,,566030.3564439481,8429749.10708151
2026-11-01,,44932,0.0,0.0,,0.477586845165947,,643769.9365924718,,492818.26603528694,,0.0,,492818.26603528694,8922567.373116797
2026-12-01,,40716,0.0,0.0,,0.47759338854137495,,602812.2796117775,,461464.07309305476,,0.0,,461464.07309305476,9384031.446209852
2027-01-01,,37213,0.0,0.0,,0.4775888807379509,,550947.4643929794,,421760.78793201287,,0.0,,421760.78793201287,9805792.234141864
2027-02-01,,34290,0.0,0.0,,0.4775785964767968,,458537.33735169785,,351019.4551479984,,0.0,,351019.4551479984,10156811.689289862
2027-03-01,,31694,0.0,0.0,,0.4775624190534025,,469204.58448597323,,359186.0588335017,,0.0,,359186.0588335017,10515997.748123365
2027-04-01,,29360,0.0,0.0,,0.4775360527889223,,420608.65946669254,,321985.7445567462,,0.0,,321985.7445567462,10837983.49268011
2027-05-01,,27315,0.0,0.0,,0.477501274778025,,404325.3350842769,,309521.61699224595,,0.0,,309521.61699224595,11147505.109672356
2027-06-01,,25496,0.0,0.0,,0.47746039045089766,,365199.31301803933,,279570.8317176945,,0.0,,279570.8317176945,11427075.94139005
2027-07-01,,23862,0.0,0.0,,0.47741534827063187,,353158.9618179404,,270354.87514388864,,0.0,,270354.87514388864,11697430.81653394
2027-08-01,,22346,0.0,0.0,,0.47736778808859104,,330687.6686595449,,253153.6290775405,,0.0,,253153.6290775405,11950584.44561148
2027-09-01,,20976,0.0,0.0,,0.47732079887130563,,300375.32527874113,,229949.55255176857,,0.0,,229949.55255176857,12180533.99816325
2027-10-01,,19723,0.0,0.0,,0.47727487466819646,,291812.5314543669,,223395.4697721843,,0.0,,223395.4697721843,12403929.467935434
2027-11-01,,18580,0.0,0.0,,0.47723132530456586,,266011.51781697985,,203644.58442421537,,0.0,,203644.58442421537,12607574.052359648
2027-12-01,,17545,0.0,0.0,,0.4771918766523195,,259538.83418550846,,198690.26355559967,,0.0,,198690.26355559967,12806264.315915247
2028-01-01,,16597,0.0,0.0,,0.47715782912351595,,245501.23230566477,,187944.43771801918,,0.0,,187944.43771801918,12994208.753633266
2028-02-01,,15776,0.0,0.0,,0.47713266809621796,,218286.49476788007,,167110.53283636735,,0.0,,167110.53283636735,13161319.286469633
2028-03-01,,15046,0.0,0.0,,0.4771174725250796,,222540.92820855806,,170367.81377187592,,0.0,,170367.81377187592,13331687.100241508
