Date,DAU Actuals (avg),DAU (avg),ARPDAU,Gross Rev (Act),Revenue (Gross),Net Rev (Act),Revenue (Net),Marketing Cost,Game Margin (Act),Game Margin,Cumul. Margin
2025-10-01,127266.0,127266,0.3942006845689027,1555213.5493838259,1555213.5493838259,1141849.3245603838,1141849.3245603838,574515.0,567334.3245603838,567334.3245603838,567334.3245603838
2025-11-01,119314.0,119314,0.41587829469551585,1488604.749112202,1488604.749112202,1091991.522645012,1091991.522645012,512000.0,579991.522645012,579991.522645012,1147325.8472053958
2025-12-01,117685.0,117685,0.4304884911160222,1570519.3059902412,1570519.3059902412,1151169.3452025806,1151169.3452025806,500000.0,651169.3452025806,651169.3452025806,1798495.1924079764
2026-01-01,114297.0,114297,0.4497833608426816,1593676.901971398,1593676.901971398,1167057.328211214,1167057.328211214,350000.0,817057.3282112139,817057.3282112139,2615552.5206191903
2026-02-01,109328.0,109328,0.47494831094003936,1453909.3947080937,1453909.3947080937,1064224.515926842,1064224.515926842,450000.0,614224.5159268421,614224.5159268421,3229777.0365460324
2026-03-01,98536.0,98536,0.4445342703216127,1357880.1610699124,1357880.1610699124,998303.549172174,998303.549172174,250000.0,748303.549172174,748303.549172174,3978080.585718206
2026-04-01,90904.0,90904,0.48170998217323696,1313677.0729044206,1313677.0729044206,963483.2436402708,963483.2436402708,250000.0,713483.2436402708,713483.2436402708,4691563.829358477
2026-05-01,84998.0,82226,0.49523089314242424,742827.5222100843,1262347.640780453,544902.0663514119,941364.6666857345,250000.0,294902.06635141186,691364.6666857345,5382928.496044212
2026-06-01,,77154,0.515819316893821,,1193924.5868018374,,898784.8540201731,250000.0,,648784.8540201731,6031713.350064385
2026-07-01,,74163,0.5348172214280321,,1229577.1308092747,,934670.948632182,300000.0,,634670.948632182,6666384.298696566
2026-08-01,,72384,0.5412138081792446,,1214437.2412074285,,922872.9514143078,350000.0,,572872.9514143078,7239257.250110874
2026-09-01,,70924,0.5417900432863849,,1152773.3671112054,,875989.0308132735,350000.0,,525989.0308132735,7765246.280924147
2026-10-01,,69115,0.5411597001019649,,1159467.2726503874,,881102.5814616637,350000.0,,531102.5814616637,8296348.86238581
2026-11-01,,67777,0.5425147297451736,,1103102.717348096,,838215.1342106983,350000.0,,488215.1342106983,8784563.996596508
2026-12-01,,66282,0.5418587440482509,,1113382.6940052798,,846053.3675219896,350000.0,,496053.3675219896,9280617.364118498
2027-01-01,,64831,0.541825509025646,,1088938.1802303977,,827479.4451847249,350000.0,,477479.4451847249,9758096.809303222
2027-02-01,,64511,0.5417894198271914,,978634.0637486248,,743661.1178852972,350000.0,,393661.11788529716,10151757.92718852
2027-03-01,,63258,0.5417592233189155,,1062387.606019537,,807306.3640635243,350000.0,,457306.3640635243,10609064.291252043
2027-04-01,,62179,0.541728771627575,,1010530.219455118,,767901.1628450218,350000.0,,417901.1628450218,11026965.454097064
2027-05-01,,60990,0.5416993897834051,,1024193.3139735712,,778284.8436676392,350000.0,,428284.8436676392,11455250.297764704
2027-06-01,,60144,0.5416719229509456,,977354.2556907794,,742692.8137738677,350000.0,,392692.8137738677,11847943.11153857
2027-07-01,,59106,0.5416471185746434,,992445.322595356,,754161.4403013039,350000.0,,404161.44030130387,12252104.551839875
2027-08-01,,58111,0.5416241682022735,,975705.7627567607,,741441.8338388887,350000.0,,391441.8338388887,12643546.385678764
2027-09-01,,57562,0.5416026570577942,,935272.9916017754,,710717.5850312859,350000.0,,360717.5850312859,13004263.97071005
2027-10-01,,56793,0.5415843315444886,,953511.2553606553,,724577.554793959,350000.0,,374577.554793959,13378841.52550401
2027-11-01,,56355,0.5415683223660829,,915607.1380797277,,695774.5818150202,350000.0,,345774.5818150202,13724616.10731903
2027-12-01,,55735,0.541555087030401,,935694.0331050304,,711039.1720296997,350000.0,,361039.17202969966,14085655.279348731
